INFO 2024-10-07 18:58:35,702 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-07 18:58:35,828 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/utils/timezone.py first seen with mtime 1728323231.6619396
DEBUG 2024-10-07 18:58:35,828 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/utils/asyncio.py first seen with mtime 1728321044.619834
DEBUG 2024-10-07 18:58:35,828 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1728321043.7839324
DEBUG 2024-10-07 18:58:35,828 autoreload File /opt/anaconda3/lib/python3.12/glob.py first seen with mtime 1718723590.705945
DEBUG 2024-10-07 18:58:35,828 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_struct.cpython-312-darwin.so first seen with mtime 1718723632.4634202
DEBUG 2024-10-07 18:58:35,828 autoreload File /opt/anaconda3/lib/python3.12/shutil.py first seen with mtime 1718723591.124271
DEBUG 2024-10-07 18:58:35,828 autoreload File /opt/anaconda3/lib/python3.12/json/decoder.py first seen with mtime 1718723594.5175452
DEBUG 2024-10-07 18:58:35,828 autoreload File /opt/anaconda3/lib/python3.12/locale.py first seen with mtime 1718723590.8098223
DEBUG 2024-10-07 18:58:35,828 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/utils/encoders.py first seen with mtime 1728323231.6605577
DEBUG 2024-10-07 18:58:35,828 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/files/uploadhandler.py first seen with mtime 1728321044.5290058
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/_lzma.cpython-312-darwin.so first seen with mtime 1718723629.2135043
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/template/loaders/cached.py first seen with mtime 1728321044.6132874
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/management/__init__.py first seen with mtime 1728321044.5439744
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/linecache.py first seen with mtime 1718723590.8041794
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/signing.py first seen with mtime 1728321044.523547
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/credit_card_bot/users/apps.py first seen with mtime 1728323317.3702595
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/renderers.py first seen with mtime 1728323231.6106641
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/utils/humanize_datetime.py first seen with mtime 1728323231.6611161
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/sqlparse/filters/others.py first seen with mtime 1728321043.7840748
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/asyncio/tasks.py first seen with mtime 1718723591.6788545
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/admin/options.py first seen with mtime 1728321043.924317
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/unittest/runner.py first seen with mtime 1718723595.9180334
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/__init__.py first seen with mtime 1728323231.6064806
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/importlib/resources/__init__.py first seen with mtime 1718723594.3497744
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/exceptions.py first seen with mtime 1728323231.607918
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/models/sql/constants.py first seen with mtime 1728321044.5807893
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/asyncio/coroutines.py first seen with mtime 1718723591.5878942
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/importlib/metadata/_itertools.py first seen with mtime 1718723594.4672105
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/hmac.py first seen with mtime 1718723590.7476761
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/forms/boundfield.py first seen with mtime 1728321044.582891
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/template/response.py first seen with mtime 1728321044.6094131
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/template/loaders/app_directories.py first seen with mtime 1728321044.6130273
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/admindocs/utils.py first seen with mtime 1728321044.0489569
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/re/_casefix.py first seen with mtime 1718723595.494826
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/admin/checks.py first seen with mtime 1728321043.9230154
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/models/fields/__init__.py first seen with mtime 1728321044.5735588
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/messages/middleware.py first seen with mtime 1728321044.3561635
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/contrib/auth/backends.py first seen with mtime 1728321044.1003199
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/models/aggregates.py first seen with mtime 1728321044.5702076
DEBUG 2024-10-07 18:58:35,829 autoreload File /opt/anaconda3/lib/python3.12/calendar.py first seen with mtime 1718723590.4186523
DEBUG 2024-10-07 18:58:35,829 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/forms/formsets.py first seen with mtime 1728321044.5834887
